xfold,architecture,fold_desc
2487,a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains"
554,alpha complex topology,Influenza virus matrix protein M1
563,alpha bundles,ATPD N-terminal domain-like
5099,beta sandwiches,Ig-like domain in anthrax protective antigen
5095,beta sandwiches,N-terminal beta-sandwich domain in anthrax protective antigen
5097,beta sandwiches,Middle beta-sandwich domain in anthrax protective antigen
5098,a+b two layers,beta-grasp domain in anthrax protective antigen
5096,few secondary structure elements,Ca-binding domain in anthrax protective antigen
7542,a/b three-layered sandwiches,Aconitase iron-sulfur domain
898,a+b two layers,a+b domain in Ribosomal protein L1
7524,a/b three-layered sandwiches,ALDH-like
510,alpha bundles,"Domain of early E2A DNA-binding protein, ADDBP"
375,few secondary structure elements,Rubredoxin-like
601,alpha bundles,Four-helical up-and-down bundle
518,alpha arrays,"Chemotaxis receptor methyltransferase CheR, N-terminal domain"
150,alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines
7581,a/b three-layered sandwiches,Thiolase-like
387,few secondary structure elements,omega toxin-like
372,a+b complex topology,RNase A-like
385,few secondary structure elements,Cystine-knot cytokines
196,alpha bundles,"Regulator of G-protein signaling, RGS"
177,alpha bundles,Phospholipase C/P1 nuclease
383,few secondary structure elements,Defensin-like
567,alpha duplicates or obligate multimers,p53 tetramerization domain
331,a+b two layers,TBP-like
64,beta meanders,WW domain-like
3016,a+b two layers,C-terminal domain in some PLP-dependent transferases
7577,a/b three-layered sandwiches,PLP-dependent transferases
246,a+b four layers,Carbon-nitrogen hydrolase-like
3657,a+b complex topology,Scaffolding protein GPB
2492,a+b three layers,Cytidine deaminase-like
4019,alpha complex topology,alpha-helical domain in beta-lactamase/transpeptidase-like proteins
223,a+b three layers,Profilin-like
108,alpha arrays,EF-hand
69,beta complex topology,Hedgehog/intein
235,a+b complex topology,Lysozyme-like
4011,beta barrels,beta-barrel domain in acetyl-CoA synthetase-like proteins
327,a+b two layers,Alpha-lytic protease prodomain-like
7584,a/b three-layered sandwiches,Rossmann-like domain in Acetyl-CoA synthetase-like proteins
4108,few secondary structure elements,Neurotoxin III (ATX III)
193,alpha bundles,CH domain-like
7501,a/b three-layered sandwiches,Dihydrofolate reductases
712,beta sandwiches,"ENV polyprotein, receptor-binding domain"
304,a+b two layers,Alpha-beta plaits
296,a+b three layers,"Sulfite reductase hemoprotein (SiRHP), domains 2 and 4"
169,alpha complex topology,Aldehyde ferredoxin oxidoreductase-C
317,a+b two layers,Translation initiation factor eIF4e and phosphothreonine lyase
370,few secondary structure elements,TB module/8-cys domain
220,beta barrels,PH domain-like
139,few secondary structure elements,Multiheme cytochromes
56,beta sandwiches,Epsilon subunit of F1F0-ATP synthase-N
192,alpha bundles,Long alpha-hairpin
4,beta barrels,SH3
4059,a+b complex topology,Serpins
2498,mixed a+b and a/b,Zincin-like
50,beta barrels,"Herpes virus serine proteinase, assemblin"
389,few secondary structure elements,EGF-like
7502,a/b three-layered sandwiches,Anticodon-binding domain of Class II aaRS
5041,extended segments,F1F0 ATP synthase subunit C
2006,a/b three-layered sandwiches,HAD domain-like
103,alpha arrays,RuvA-C
2496,a/b three-layered sandwiches,SpoIIaa-like
7515,a/b three-layered sandwiches,Alkaline phosphatase-like
9,beta barrels,Lipocalins/Streptavidin
2489,a/b three-layered sandwiches,Barstar (barnase inhibitor)
135,alpha arrays,"Transducin (alpha subunit), insertion domain"
165,alpha duplicates or obligate multimers,Dimerisation interlock
806,a+b four layers,"Aldehyde ferredoxin oxidoreductase, N-terminal domain"
807,a+b two layers,Allophycocyanin linker chain (domain)
1170,beta barrels,IL8-related
282,a+b duplicates or obligate multimers,CBS-domain
605,alpha duplicates or obligate multimers,ROP-like
557,alpha arrays,LigA-like domain
2012,a/b three-layered sandwiches,LigB-like
266,a+b two layers,Thymidylate synthase/dCMP hydroxymethylase
244,a+b two layers,"FAD-linked reductases, C-terminal domain-like"
225,a+b two layers,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase-like
231,a+b two layers,MocoBD/DmpA-related
283,a+b duplicates or obligate multimers,Creatinase/aminopeptidase-like
227,a+b two layers,DNA clamp
507,alpha arrays,DnaB helicase N-terminal domain-related
2484,mixed a+b and a/b,Ribonuclease H-like
377,few secondary structure elements,Glucocorticoid receptor-like
221,a+b two layers,beta-Grasp
252,a+b two layers,DNA-binding domain
72,beta sandwiches,gamma-Crystallin-like
305,a+b two layers,DCoH-like
240,a+b complex topology,Ribosomal protein TL5/L25 C-terminal domain-like
325,a+b complex topology,alpha/beta-Hammerhead/Barrel-sandwich hybrid
185,alpha superhelices,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like
3009,alpha arrays,Insertion subdomain in DsbA-like
12,beta sandwiches,Glycosyl hydrolase domain-like
603,alpha bundles,STAT-like
214,a+b two layers,SH2
5073,alpha bundles,Calcium ATPase transmembrane domain-related
129,alpha arrays,6-phosphogluconate dehydrogenase C-terminal domain-like
515,alpha arrays,Transcription factor STAT-4 N-domain
354,few secondary structure elements,Sea anemone toxin k-like
7525,a/b three-layered sandwiches,Phosphoglycerate mutase-like
384,few secondary structure elements,BPTI-like
4012,a+b two layers,SSHS domain
4014,a+b two layers,a+b domain in type II DNA topoisomerase
4016,alpha bundles,alpha-helical domain in type II DNA topoisomerase
213,a+b three layers,Nat/Ivy
176,alpha arrays,Annexin
280,a+b two layers,Ribonuclease Rh-like
367,few secondary structure elements,Insulin-like
376,few secondary structure elements,RING/U-box-like
184,alpha arrays,Nucleoside phosphorylase/phosphoribosyltransferase-N
7544,a/b three-layered sandwiches,Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain
146,alpha arrays,Di-copper centre-containing domain
382,few secondary structure elements,Snake toxin-like
398,few secondary structure elements,Btk/CHORD zinc fingers
226,a+b two layers,POZ domain
617,alpha bundles,A virus capsid protein alpha-helical domain
232,a+b duplicates or obligate multimers,Pentein
302,a+b two layers,Reverse ferredoxin
388,few secondary structure elements,Huristasin-like
887,a+b two layers,Ribosomal protein L30p/L7e
133,alpha bundles,DH domain-like
358,a+b complex topology,SRCR-like
3070,a+b complex topology,N0 domain in phage tail proteins and secretins-like
209,a+b complex topology,C-type lectin-like
300,a+b three layers,Phospholipase D/nuclease
329,a+b two layers,"Prokaryotic AspRS, insert domain"
5045,alpha bundles,F1F0 ATP synthase subunit A
546,alpha complex topology,gene 59 helicase assembly protein
602,alpha arrays,L-aspartase middle domain-like
4953,beta barrels,L-aspartase C-terminal domain-like
4952,alpha arrays,L-aspartase N-terminal domain-like
67,beta sandwiches,HSP40/DnaJ peptide-binding domain
76,beta duplicates or obligate multimers,beta-Prism I
268,a+b two layers,Sterol carrier protein-like
275,a+b two layers,MoeA-I/Ornithine decarboxylase-C/Reverse ferredoxin-like domain in RNA-polymerase
261,a+b complex topology,"Hect, E3 ligase catalytic domain"
107,alpha arrays,Cytochrome c-like
529,few secondary structure elements,Anaphylotoxins (complement system)
70,beta barrels,beta-clip
2011,a/b three-layered sandwiches,Phosphorylase/hydrolase-like
222,a+b two layers,Thioesterase/thiol ester dehydrase-isomerase-like
844,beta barrels,"Transcriptional factor tubby, C-terminal domain"
1137,a+b two layers,Tetrapyrrole methylase C-terminal domain-like
7550,a/b three-layered sandwiches,Tetrapyrrole methylase N-terminal domain
858,a+b three layers,CytB endotoxin-like (Pfam 01338)
4046,beta meanders,all-beta domain in nickel-iron hydrogenase large subunit
4025,alpha complex topology,"alpha-helical domain in nickel-iron hydrogenase, large subunit"
7568,a/b three-layered sandwiches,BRCT domain
298,a+b two layers,FwdE/GAPDH domain-like
273,a+b three layers,PR-1-like
224,a+b three layers,Gelsolin-like
7548,a/b three-layered sandwiches,"Methylesterase CheB, C-terminal domain"
604,alpha bundles,Spectrin repeat-like
278,a+b complex topology,"Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain"
211,a+b two layers,Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
190,alpha arrays,HMG-box-like
301,a+b three layers,Bacillus chorismate mutase-like
322,a+b two layers,HPr-like
219,a+b complex topology,Cysteine proteinases-like
7510,a/b three-layered sandwiches,Isocitrate/Isopropylmalate dehydrogenase-like
924,few secondary structure elements,Zinc domain conserved in yeast copper-regulated transcription factors
228,a+b three layers,"Fe,Mn superoxide dismutase (SOD)-C"
2005,a/b three-layered sandwiches,HUP domain-like
149,alpha arrays,Cytochrome P450
527,beta sandwiches,"Soluble secreted chemokine inhibitor, VCCI"
229,a+b two layers,Cdc48 domain 2-like
321,a+b two layers,Glutamine synthetase-like
3998,alpha arrays,Peptidase inhibitors family I29
294,a+b two layers,CI-2 family of serine protease inhibitors-like
172,alpha complex topology,Citrate synthase-like
308,a+b two layers,ClpS-like
7575,a/b three-layered sandwiches,Caspase-like
7576,a/b three-layered sandwiches,Gingipain R extra N-terminal alpha/beta domain
136,alpha complex topology,Heme-dependent peroxidases
243,a+b two layers,Cystatin-like
264,beta barrels,LigT-like
110,alpha arrays,DEATH domain
3567,a+b duplicates or obligate multimers,MPER trimer
306,a+b two layers,Glucose permease domain IIB-like
180,alpha bundles,Acid phosphatase/Vanadium-dependent haloperoxidase
4027,beta barrels,all-beta domain in DNA topoisomerase IV alpha subunit
886,a+b duplicates or obligate multimers,Probable bacterial effector-binding domain
292,a+b two layers,RIP/Polo-box domain
909,few secondary structure elements,"Cholecystokinin A receptor, N-domain"
241,a+b two layers,Type III secretory system chaperone-like
868,a+b complex topology,mRNA triphosphatase CET1-related
4045,a+b two layers,barrel domain in D-aminoacid aminotransferase-like PLP-dependent enzymes
4020,a+b two layers,a+b domain in D-aminoacid aminotransferase-like PLP-dependent enzymes
299,a+b complex topology,YbaK/ProRS associated domain
2486,a/b three-layered sandwiches,ClpP/crotonase
328,a+b two layers,IF3-like
310,a+b two layers,RRF/tRNA synthetase additional domain-like
4973,alpha bundles,helical domain in DNA primase DnaG catalytic core
4023,a+b two layers,N-terminal a+b domain in DNA primase core
3687,alpha bundles,NADPH-cytochrome p450 reductase helical insertion domain
4126,a/b three-layered sandwiches,beta-carbonic anhydrase-like
233,a+b two layers,MHC antigen-recognition domain
611,alpha bundles,N-cbl like
351,few secondary structure elements,Leech antihemostatic protein
239,beta barrels,Ribosomal protein L25-like
141,alpha bundles,Terpenoid synthases
330,a+b two layers,dsRBD-like
7541,a/b three-layered sandwiches,Molybdenum cofactor biosynthesis proteins
523,a+b two layers,Ribosomal protein L9 C-domain
824,a+b two layers,Heme-binding protein A (HasA)
706,beta complex topology,Head domain of nucleotide exchange factor GrpE
3999,a+b two layers,Peptidase inhibitors family I69
511,beta sandwiches,"Heat shock protein 70kD (HSP70), peptide-binding domain"
632,alpha bundles,immunoglobulin/albumin-binding domain-like
931,few secondary structure elements,Metallothionein
7559,a/b three-layered sandwiches,Ribosomal protein L4
73,beta sandwiches,SMAD/FHA domain
323,a+b complex topology,CoA-dependent acyltransferases
4153,extended segments,Proteinase A inhibitor IA3
315,a+b two layers,Tautomerase/MIF-like
394,few secondary structure elements,Invertebrate chitin-binding proteins
832,a+b three layers,"N-terminal domain of eukaryotic peptide chain release factor subunit 1, ERF1"
905,few secondary structure elements,Carboxypeptidase inhibitor
3484,a+b two layers,"Laminaripentaose-producing beta-1,3-glucanase insertion domain"
132,alpha bundles,ACP-like
544,alpha bundles,Functional domain of the splicing factor Prp18
505,alpha arrays,Repressor of bacterial conjugation FinO
812,a+b duplicates or obligate multimers,MinE-like
265,a+b two layers,RNA bacteriophage capsid protein
840,a+b two layers,RPB5-like RNA polymerase subunit
5001,alpha bundles,Family A G protein-coupled receptor-like
7531,a/b three-layered sandwiches,Carbamate kinase-like
245,a+b two layers,Ribonuclease PH domain 2-like
506,beta meanders,Colicin E3 ribonuclease domain-like
281,a+b three layers,AraD-like aldolase/epimerase
517,beta barrels,CBF-like
247,a+b four layers,Metallo-hydrolase/oxidoreductase
7516,a/b three-layered sandwiches,Nucleotide-diphospho-sugar transferases
6174,alpha arrays,C-terminal helical domain of proline 3-hydroxylase
633,alpha bundles,Bromodomain-like
391,few secondary structure elements,Fibronectin type I module-like
7570,a/b three-layered sandwiches,"MurD-like peptide ligases, peptide-binding domain"
2493,a/b three-layered sandwiches,MurF and HprK N-domain-like
908,few secondary structure elements,"Cellulose docking domain, dockering"
923,few secondary structure elements,"Type X cellulose binding domain, CBDX"
55,beta barrels,Urease metallochperone UreE-N
357,few secondary structure elements,Ectatomin/elicitin
164,alpha bundles,Chorismate mutase II
4034,a+b complex topology,Sandwich domain in replication terminator protein (Tus)
4053,a+b complex topology,Insertion domain in replication terminator protein (Tus)
284,a+b two layers,FKBP-like
3504,beta barrels,MutM N-terminal domain-like
7521,a/b three-layered sandwiches,B12-dependent dehydratase associated subunit
623,alpha bundles,"Diol dehydratase, gamma subunit"
583,extended segments,Moesin tail domain
836,a+b three layers,Regulatory factor Nef
609,alpha bundles,Domain of poly(ADP-ribose) polymerase
237,a+b complex topology,ADP-ribosylation
263,a+b three layers,SRF-like
397,few secondary structure elements,Toxic hairpin
577,alpha arrays,CRIB domain
3332,a+b two layers,ferredoxin-like domain in VP1
4064,a+b complex topology,Inner layer core protein p3-related
319,beta sandwiches,HSP20-like
365,few secondary structure elements,Crambin-like
5085,a+b duplicates or obligate multimers,Outer membrane efflux proteins (OEP)
3019,beta sandwiches,gp11/flagellar cap protein FliD insertion domain
877,a+b duplicates or obligate multimers,gp11/gp12 receptor-binding domain
7557,a/b three-layered sandwiches,DNA polymerase III psi subunit
3695,few secondary structure elements,Dihydroorotate dehydrogenase B PyrK subunit 2Fe-2S cluster-binding domain
4015,alpha complex topology,alpha-helical domain in sec1/munc18-like (SM) proteins
7585,a/b three-layered sandwiches,Rossmann-like domains in Sec1/munc18-like proteins
369,few secondary structure elements,Protozoan pheromone proteins
54,beta barrels,EV matrix protein
1001,a+b two layers,"Formate dehydrogenase/DMSO reductase, domain 1"
883,a+b complex topology,Aha1/BPI domain-like
270,beta barrels,FMT C-terminal domain-like
7504,a/b three-layered sandwiches,ITPase-like
361,few secondary structure elements,DnaJ/Hsp40 cysteine-rich domain
195,alpha complex topology,NusB-like
901,few secondary structure elements,ADA_N-like domain
813,a+b two layers,Chalcone isomerase
5002,extended segments,"Photosystem II reaction centre subunit H, transmembrane region"
7512,a/b three-layered sandwiches,UDP-Glycosyltransferase/glycogen phosphorylase
217,a+b complex topology,FAD-binding domain-like
833,a+b duplicates or obligate multimers,Pepsin inhibitor-3
59,beta complex topology,triple barrel
621,alpha bundles,"Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain"
5054,alpha complex topology,Voltage-gated ion channels
591,alpha bundles,C-terminal domain of B transposition protein
7534,a/b three-layered sandwiches,Undecaprenyl diphosphate synthase
189,alpha bundles,"GTPase activation domain, GAP"
140,alpha bundles,Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
364,few secondary structure elements,TAZ domain
236,beta barrels,GroES-like
650,alpha bundles,Chaperone J-domain
7,beta barrels,PDZ domain
3694,alpha bundles,Tail specific protease helical domain
188,alpha arrays,Nuclear receptor ligand-binding domain
3405,alpha duplicates or obligate multimers,FkpA dimerization domain-like
205,a+b two layers,4Fe-4S ferredoxin
5038,alpha superhelices,Cytochrome c oxidase subunit I-like
5040,extended segments,"Cytochrome c oxidase subunit II-like, transmembrane region"
5039,alpha bundles,Cytochrome c oxidase subunit III-like
3008,a+b three layers,A subdomain in the anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
269,a+b complex topology,Fibrinogen C-terminal domain-like
312,a+b three layers,HIT-like
524,alpha arrays,Ypt/Rab-GAP domain of gyp1p-like
927,few secondary structure elements,Elafin-like
7571,a/b three-layered sandwiches,Formyltransferase
856,a+b complex topology,Outer capsid protein sigma 3-related
622,alpha bundles,YvfG-like
66,beta sandwiches,ISP domain
4294,few secondary structure elements,Trm112p-like
904,few secondary structure elements,B-box zinc-binding domain-like
7519,a/b three-layered sandwiches,"ATP synthase (F1-ATPase), gamma subunit"
145,alpha arrays,F-box domain
7532,a/b three-layered sandwiches,Phosphoglycerate kinase domain 1
7533,a/b three-layered sandwiches,Phosphoglycerate kinase domain 2
65,beta sandwiches,Composite domain of metallo-dependent hydrolases
4138,few secondary structure elements,Granulin repeat
5048,alpha complex topology,Aquaporin-like
208,beta duplicates or obligate multimers,Single-stranded left-handed beta-helix
392,beta meanders,N-terminal domains of the minor coat protein g3p
371,few secondary structure elements,"Phospholipase A2, PLA2"
5055,extended segments,Small-conductance potassium channel
5093,a+b complex topology,Head and neck region of the ectodomain of paramyxoviruses fusion glycoprotein
7564,a/b three-layered sandwiches,"Homo-oligomeric flavin-containing Cys decarboxylases, HFCD"
610,alpha arrays,ERP29 C domain-like
7526,a/b three-layered sandwiches,"Initiation factor IF2/eIF5b, domain 3"
3052,a+b complex topology,MoeA domain II
576,few secondary structure elements,Tetraspanin extracellular domain
143,alpha arrays,PABP domain-like
2499,a/b three-layered sandwiches,Subtilisin-like
163,alpha arrays,Fertilization protein
218,a+b two layers,Enolase-N/ribosomal protein
153,extended segments,"Transducin (heterotrimeric G protein), gamma chain"
197,alpha bundles,Acyl-CoA binding protein-like
271,beta barrels,GFP-like
356,few secondary structure elements,PMP inhibitors
4044,alpha bundles,Helical bundle domain in prismane-like proteins
4017,few secondary structure elements,Fe-binding domain in prismane-like proteins
7586,a/b three-layered sandwiches,Rossmann-like domain in prismane-like proteins
872,a+b two layers,Dodecin subunit-like
859,a+b two layers,The spindle assembly checkpoint protein mad2
63,beta barrels,Mannose 6-phosphate receptor domain
547,alpha duplicates or obligate multimers,Glutamyl tRNA-reductase dimerization domain
7522,a/b three-layered sandwiches,TK C-terminal domain-like
4006,alpha bundles,Release factor (Pfam 00472) N-terminal alpha helical domain
187,alpha arrays,alpha-helical ferredoxin-like
8002,alpha bundles,Zn-binding domain in glutaminyl-tRNA synthetase
4028,beta barrels,Barrel domain in heme-dependent catalases
4047,alpha bundles,First alpha-helical domain in heme-dependent catalases
4048,alpha bundles,Second alpha-helical domain in heme-dependent catalases
4967,alpha bundles,helical bundle domain in reverse transcriptase-like polymerases
874,a+b duplicates or obligate multimers,Smc hinge domain
7529,a/b three-layered sandwiches,Macro domain-like
2488,a/b three-layered sandwiches,alpha/beta knot
636,alpha arrays,SopE-like GEF domain
379,few secondary structure elements,Kazal-type serine protease inhibitors-like
2500,a/b barrels,Ten stranded beta/alpha barrel
7090,extended segments,Glycyl radical domain
5043,extended segments,Sensor proteins transmembrane domains
142,alpha complex topology,Sigma2 domain-like
4056,beta barrels,Barrel domain in upper collar protein
4038,alpha bundles,Alpha-helical domain in upper collar protein
277,a+b two layers,PX domain
5092,beta sandwiches,Domain in virus attachment proteins
380,few secondary structure elements,Kringle-like
162,alpha bundles,"PTS-regulatory domain, PRD"
918,few secondary structure elements,Pheromone ER-23
154,alpha bundles,Methyl-coenzyme M reductase alpha and beta chain-C
151,alpha bundles,Hemocyanin-N
2495,a/b three-layered sandwiches,"Cell-division inhibitor MinC, N-terminal domain"
581,extended segments,Fe-only hydrogenase smaller subunit
885,a+b complex topology,"Transcription factor NusA, N-terminal domain"
362,few secondary structure elements,P-domain of calnexin/calreticulin
7535,a/b three-layered sandwiches,Dipeptide transport protein
390,few secondary structure elements,Hairpin loop containing domain-like
374,few secondary structure elements,HIPIP (high potential iron protein)
903,few secondary structure elements,Apical membrane antigen 1
560,few secondary structure elements,"H-NS histone-like proteins, C-terminal domain"
288,a+b four layers,CNF1/YfiH-like putative cysteine hydrolases
309,a+b two layers,"LuxS, MPP, ThrRS/AlaRS common domain"
297,a+b complex topology,YrdC/RibB
4230,alpha arrays,DnaD domain
313,a+b complex topology,"Uridine diphospho-N-Acetylenolpyruvylglucosamine reductase, MurB, C-terminal domain"
628,alpha bundles,"Fatty acid responsive transcription factor FadR, C-terminal domain"
848,a+b complex topology,Hsp33 domain
708,beta complex topology,ETN0001 domain-like
823,a+b two layers,"Head-to-tail joining protein W, gpW"
234,a+b two layers,Microbial ribonucleases-like
254,a+b two layers,Prion-like
6131,few secondary structure elements,Zinc finger domain in intron-associated endonuclease 1
381,few secondary structure elements,Inhibitor of apoptosis (IAP) repeat
4177,alpha duplicates or obligate multimers,BAR/IMD domain-like
320,a+b two layers,R3H domain-like
4988,a+b two layers,"Ribosomal protein S8, C-terminal domain"
216,a+b two layers,UBC-like
880,a+b duplicates or obligate multimers,ADC synthase
3860,alpha bundles,Myosin VI lever arm
363,few secondary structure elements,Thyroglobulin type-1 domain
7562,a/b three-layered sandwiches,"Thiamin pyrophosphokinase, catalytic domain"
4970,alpha bundles,"""fingers"" domain in bacteriophage RB69-like DNA polymerase I"
4969,alpha bundles,"""thumb"" domain in bacteriophage RB69-like DNA polymerase I"
3979,a+b four layers,Mre11 nuclease C-terminal domain
538,alpha duplicates or obligate multimers,Class II MHC-associated invariant chain ectoplasmic trimerization domain
3683,alpha arrays,Calcium binding protein 40 (CBP40) N-terminal domain
543,few secondary structure elements,Frizzled cysteine-rich domain-related
719,beta barrels,"XRCC4, N-terminal domain-like"
3939,alpha duplicates or obligate multimers,XRCC4 C-terminal oligomerization domain
7561,a/b three-layered sandwiches,Isochorismatase-like hydrolases
3699,beta meanders,Spermidine synthase tetramerisation domain
4018,a+b two layers,a+b domain in carbohydrate phosphatases
7587,a/b three-layered sandwiches,Rossmann-like domain in carbohydrate phosphatases
4032,beta complex topology,barrel domains in phase 1 flagellin
882,a+b two layers,Ribosomal protein L5
801,a+b three layers,Hypothetical protein MTH1880
167,alpha arrays,Ribosomal protein S7
5104,a+b three layers,C-terminal domain in DHH phosphoesterases
7558,a/b three-layered sandwiches,Glycerol-3-phosphate (1)-acyltransferase
4052,beta complex topology,Acyl-CoA dehydrogenase middle domain-like
4033,alpha arrays,Acyl-CoA dehydrogenase N-terminal domain-like
5067,alpha bundles,Multidrug efflux transporter AcrB transmembrane domain
71,beta meanders,Lipoprotein localization factors LolAB
537,alpha arrays,BRCA2 helical domain
4196,alpha complex topology,BRCA2 tower domain
5075,alpha bundles,Photosystem II antenna protein-like
635,alpha arrays,YgfB-like
4030,alpha bundles,alpha-helical domain in subunits of heterodimeric actin filament capping protein Capz
4051,a+b two layers,a+b domain in Capz
4050,few secondary structure elements,beta-barrel domain in Capz
539,few secondary structure elements,Crustacean Hyperglycemic Hormone (CHH)-like
366,few secondary structure elements,Blood coagulation inhibitor (disintegrin)
561,alpha bundles,"Myosin phosphatase inhibitor 17kDa protein, CPI-17"
7553,a/b three-layered sandwiches,"Nicotinate mononucleotide:5,6-dimethylbenzimidazole phosphoribosyltransferase (CobT)"
393,few secondary structure elements,GLA-domain
2490,a/b three-layered sandwiches,Ribosomal protein L13/L15p/L18e/L32e
285,a+b three layers,N-acetylmuramoyl-L-alanine amidase-like
256,a+b two layers,MTH1598-like
258,a+b complex topology,Methionine synthase activation domain-like
257,a+b complex topology,"Aromatic aminoacid monoxygenases, catalytic and oligomerization domains"
181,alpha bundles,Domain of the SRP/SRP receptor G proteins-like
7527,a/b three-layered sandwiches,SurE-like/CoA-transferase family III (CaiB/BaiF)
5037,alpha bundles,Bacterial photosystem II reaction centre L and M subunits-like
834,a+b two layers,Photosystem I subunit PsaD
5019,extended segments,"Subunit III of photosystem I reaction centre, PsaF"
5020,extended segments,"Subunit VIII of photosystem I reaction centre, PsaI"
5021,extended segments,"Subunit IX of photosystem I reaction centre, PsaJ"
5063,alpha bundles,"Photosystem I reaction center subunit X, PsaK"
5064,alpha bundles,"Photosystem I reaction center subunit XI, PsaL"
5022,extended segments,"Subunit XII of photosystem I reaction centre, PsaM"
3465,extended segments,Subunit PsaX of photosystem I reaction centre
255,a+b complex topology,LCCL domain
62,beta meanders,Carbonic anhydrase
60,beta barrels,SPOC domain-like
881,a+b three layers,Mog1p/PsbP-like
850,a+b three layers,Hypothetical protein Ta1206-like
637,alpha arrays,Ribosomal protein L19 (L19e) N-terminal domain
3050,alpha bundles,Ribosomal protein L19 (L19e) C-terminal domain
865,beta complex topology,PheT/TilS domain
709,beta sandwiches,Neurophysin II
2494,a/b three-layered sandwiches,DTD-like
316,a+b three layers,Nucleotidyltransferase-like
4063,a+b complex topology,a+b domain in membrane penetration protein mu1
4062,alpha arrays,Alpha-helical domain in membrane penetration protein mu1
5074,extended segments,Bacterial light-harvesting complex subunits
191,alpha bundles,"Tetracyclin repressor-like, C-terminal domain"
827,a+b two layers,Integrin beta tail domain
639,alpha arrays,HHA-like
7545,a/b three-layered sandwiches,YchN-like
853,extended segments,Virulence effector SptP domain
534,alpha duplicates or obligate multimers,Bcr-Abl oncoprotein oligomerization domain
137,alpha bundles,A DNA-binding domain in eukaryotic transcription factors
79,beta duplicates or obligate multimers,Phage tail fiber protein trimerization domain
3071,a+b complex topology,C-terminal insertion domain in phage tail proteins
847,a+b complex topology,YopH tyrosine phosphatase N-terminal domain
533,alpha bundles,Arp2/3 complex 21 kDa subunit ARPC3
4054,alpha bundles,Alpha-helical domain in adenylylcyclase toxin
4036,a+b two layers,Insertion domain in adenylylcyclase toxin (the edema factor)
4035,a+b three layers,N-terminal a+b domain in adenylylcyclase toxin
253,a+b complex topology,Argininosuccinate synthetase-C
588,alpha arrays,Nuclear receptor coactivator ACTR
5069,alpha bundles,Transmembrane heme-binding four-helical bundle
