domain_id,hierarchy
3twkA02,1.10.8.50.12.1.1
3w0fA02,1.10.8.50.14.1.1
4mb7A02,1.10.8.50.16.1.1
2q2eB02,1.10.8.50.18.1.1
3vk8A02,1.10.8.50.19.1.1
5ep0A03,1.10.8.60.1.1.1
5ubvA02,1.10.8.60.4.2.1
1qzmA00,1.10.8.60.5.2.1
1hqcA02,1.10.8.60.6.4.1
3d8bB02,1.10.8.60.7.1.1
5expA02,1.10.8.60.8.1.1
4ciuA04,1.10.8.60.9.2.1
2c9oB03,1.10.8.60.10.1.1
6p10B02,1.10.8.60.11.1.1
1c1kA01,1.10.8.60.12.1.1
4fwdA02,1.10.8.60.13.1.1
5vc7A02,1.10.8.60.14.2.1
1nvmA02,1.10.8.60.15.2.1
2fnaA02,1.10.8.60.16.1.1
5m7oA03,1.10.8.60.17.1.1
4a3vB01,1.10.8.60.18.3.1
4zpxA02,1.10.8.60.19.1.1
1d2nA02,1.10.8.60.20.1.1
1r6bX03,1.10.8.60.22.1.1
5vjhB02,1.10.8.60.22.4.1
2dznF00,1.10.8.60.23.2.1
6b5cA02,1.10.8.60.26.1.1
3bosA02,1.10.8.60.27.1.1
1w5sA01,1.10.8.60.28.1.1
4d81A02,1.10.8.60.29.1.2
1njgB01,1.10.8.60.30.1.1
1ojlA02,1.10.8.60.31.3.1
3zh9B02,1.10.8.60.32.1.1
1fnnA01,1.10.8.60.33.1.1
2x8aA02,1.10.8.60.34.1.1
3pvsA02,1.10.8.60.37.1.1
2qz4A02,1.10.8.60.38.1.1
1iqpA02,1.10.8.60.39.2.1
1r6bX05,1.10.8.60.42.1.1
3uk6A02,1.10.8.60.44.1.1
5d4wA04,1.10.8.60.45.1.1
1jqjD03,1.10.8.60.47.1.1
3whkA02,1.10.8.60.49.1.1
1um8A02,1.10.8.60.50.1.1
7krzA02,1.10.8.60.54.1.1
1e94E03,1.10.8.60.55.1.2
3sykA02,1.10.8.60.57.1.1
1sxjA02,1.10.8.60.58.1.1
1sxjD02,1.10.8.60.59.1.1
1ypwA06,1.10.8.60.60.1.1
1sxjC02,1.10.8.60.61.1.1
6vvoC02,1.10.8.60.61.2.1
2z4sA02,1.10.8.60.62.1.1
1sxjE02,1.10.8.60.65.1.1
7swlB02,1.10.8.60.67.1.1
3te6A02,1.10.8.60.68.1.1
7wd3A02,1.10.8.60.69.1.1
1xwiA02,1.10.8.60.71.2.1
7wd3A04,1.10.8.60.72.1.1
2qbyA01,1.10.8.60.74.1.2
1l8qA02,1.10.8.60.75.1.1
6pe0E01,1.10.8.60.76.1.1
2qbyB01,1.10.8.60.77.1.1
3u60E02,1.10.8.60.79.1.1
2v6zM00,1.10.8.60.80.1.1
2ja2A04,1.10.8.70.1.1.1
1j09A04,1.10.8.70.2.1.1
2o5rA04,1.10.8.70.2.2.1
3afhA04,1.10.8.70.3.1.1
2cfoA04,1.10.8.70.4.1.1
4griA04,1.10.8.70.5.1.1
2r44A03,1.10.8.80.1.1.1
1e9rA02,1.10.8.80.2.1.1
1g8pA02,1.10.8.80.3.1.1
3futA02,1.10.8.100.1.1.1
3ftdA02,1.10.8.100.2.1.1
1qyrA02,1.10.8.100.3.2.1
3gruA02,1.10.8.100.4.1.1
3tqsA02,1.10.8.100.5.1.1
6ifsB02,1.10.8.100.6.1.1
4jxjA02,1.10.8.100.7.1.1
1qamA02,1.10.8.100.8.1.1
4gc5A02,1.10.8.100.9.1.1
1i4wA02,1.10.8.100.10.1.1
1jb0F00,1.10.8.110.1.1.2
4l6v600,1.10.8.110.1.2.2
1gvnA00,1.10.8.130.1.1.1
2p5tA00,1.10.8.130.2.1.1
2fh0A00,1.10.8.140.1.1.1
2cruA01,1.10.8.140.2.1.1
1eijA00,1.10.8.140.3.1.1
1g71A02,1.10.8.160.1.1.2
1oaoC01,1.10.8.190.1.1.1
6yttA01,1.10.8.190.2.1.1
1no1A00,1.10.8.200.1.1.1
1pjqA03,1.10.8.210.1.1.1
3c3dA02,1.10.8.240.1.2.1
2gnoA02,1.10.8.250.1.1.1
3v76A03,1.10.8.260.1.1.1
2gqfA03,1.10.8.260.2.1.1
3qybA02,1.10.8.270.1.2.2
2qq8A02,1.10.8.270.2.1.1
4p17A02,1.10.8.270.3.1.1
2vf7A03,1.10.8.280.1.1.1
2r6fA04,1.10.8.280.2.1.1
3zqjD04,1.10.8.280.3.1.1
3c9pA00,1.10.8.290.1.1.1
2aplA01,1.10.8.330.1.1.1
2aplA02,1.10.8.340.1.1.1
1qusA01,1.10.8.350.1.1.1
3p2nB01,1.10.8.360.1.1.1
3bxwA01,1.10.8.360.2.1.1
1ysyA00,1.10.8.370.1.1.1
2g8lB01,1.10.8.380.1.1.1
2ffjA01,1.10.8.380.2.1.1
1h6uA01,1.10.8.390.1.1.1
1nhwC00,1.10.8.400.1.1.1
3vdpA01,1.10.8.420.2.1.1
8a93D01,1.10.8.420.3.1.1
1z6tA03,1.10.8.430.1.1.1
2k47A00,1.10.8.440.1.1.2
1xhbA02,1.10.8.460.1.1.1
1wxqA02,1.10.8.470.1.1.1
1zq9A02,1.10.8.480.1.1.1
2a5yB03,1.10.8.490.1.1.1
2aswA00,1.10.8.500.1.1.2
5ijiA01,1.10.8.500.2.1.1
4i5sA01,1.10.8.500.3.1.1
3fd9A01,1.10.8.520.1.1.1
2kebA00,1.10.8.530.1.1.1
2x49A03,1.10.8.540.1.1.1
2kruA01,1.10.8.550.1.2.1
2l09A01,1.10.8.550.2.1.1
2w82A02,1.10.8.560.1.1.1
2eucA00,1.10.8.570.1.1.1
3ilkA02,1.10.8.590.1.1.1
2bnkA00,1.10.8.600.1.1.1
3dfzA02,1.10.8.610.1.1.1
2xepA03,1.10.8.620.1.1.1
2hl7A00,1.10.8.640.1.1.1
2l6oA02,1.10.8.650.1.1.1
5wpjB03,1.10.8.660.2.1.1
3qwlA02,1.10.8.680.1.1.1
3u60A03,1.10.8.700.1.1.1
3vkgB04,1.10.8.710.1.1.1
4akgA06,1.10.8.710.2.1.1
3vkgA18,1.10.8.720.1.1.1
4akgA16,1.10.8.720.2.1.1
4ag6A02,1.10.8.730.1.1.1
4akgA13,1.10.8.740.1.1.1
3ugjA02,1.10.8.750.1.1.1
2g5gX02,1.10.8.760.1.1.1
2eo2A00,1.10.8.770.1.1.1
2j7nA02,1.10.8.790.1.1.1
2kxeA00,1.10.8.800.1.1.1
5grqA00,1.10.8.810.1.1.1
4gmqA00,1.10.8.840.1.1.1
2lwxA00,1.10.8.840.2.1.2
2lxeA01,1.10.8.850.1.1.1
2m5zA00,1.10.8.860.1.1.1
2qcuA03,1.10.8.870.1.1.1
2rgoB03,1.10.8.870.2.1.1
3da1A03,1.10.8.870.3.1.1
2r18A02,1.10.8.880.1.1.1
2xljA02,1.10.8.890.1.1.1
2yqzA02,1.10.8.900.1.1.1
3ctwB00,1.10.8.930.1.1.1
3d8lA00,1.10.8.940.1.1.1
3fkeA01,1.10.8.950.1.1.1
4gh9A01,1.10.8.950.2.1.1
6dkuA01,1.10.8.950.3.1.1
3ig5A04,1.10.8.960.1.1.1
3j27B00,1.10.8.970.1.2.1
5o6aD00,1.10.8.970.2.1.1
3kfuG02,1.10.8.990.1.1.1
3kp1E02,1.10.8.1000.1.1.1
3m7gA02,1.10.8.1010.1.1.1
3nbiA01,1.10.8.1020.1.1.1
3rfwA01,1.10.8.1040.1.1.1
3shgB00,1.10.8.1050.1.1.1
3t38A01,1.10.8.1060.1.1.1
3t15A02,1.10.8.1070.1.1.2
4lzjA02,1.10.8.1080.1.2.1
3w0lD01,1.10.8.1080.2.2.1
4qozC00,1.10.8.1120.1.1.1
4i8oA03,1.10.8.1130.1.1.1
4nooB00,1.10.8.1160.1.1.1
4oe8C00,1.10.8.1170.1.1.1
4ou7A00,1.10.8.1180.1.1.2
3e9sA02,1.10.8.1190.1.1.1
4p16A02,1.10.8.1190.2.1.1
7f0uA01,1.10.8.1190.3.1.1
6ln0A02,1.10.8.1190.4.1.1
3aogA01,1.10.8.1210.1.2.1
3k92A01,1.10.8.1210.2.1.1
3aoeD01,1.10.8.1210.3.1.1
2yfqB01,1.10.8.1210.4.2.1
3vkgA15,1.10.8.1220.1.1.1
3cf6E01,1.10.8.1240.1.1.1
3tl4X01,1.10.8.1290.1.1.1
4ye6A01,1.10.8.1290.2.1.1
4hl4A01,1.10.8.1310.1.1.1
2k9hA00,1.10.8.1320.1.1.1
2l7xA00,1.10.8.1320.2.1.1
2cw7A04,1.10.8.1330.1.1.1
1xmkA00,1.10.10.10.2.1.1
3iwfB00,1.10.10.10.3.1.1
1k78B00,1.10.10.10.5.4.1
3pqkA00,1.10.10.10.6.2.1
2fq3A00,1.10.10.10.7.1.1
1r7jA00,1.10.10.10.8.1.1
7dklA02,1.10.10.10.9.1.1
1i27A00,1.10.10.10.10.1.1
7bqjA01,1.10.10.10.11.1.2
4rayA01,1.10.10.10.13.1.1
1vtnC00,1.10.10.10.15.3.2
1y0uA00,1.10.10.10.16.1.1
4uhtA00,1.10.10.10.17.1.1
3q9vA00,1.10.10.10.17.2.1
1ucrB00,1.10.10.10.18.1.1
3l9fA01,1.10.10.10.19.2.1
1fp2A01,1.10.10.10.20.1.1
5jbrA01,1.10.10.10.21.1.1
4nb5B01,1.10.10.10.23.1.1
4ev0A02,1.10.10.10.24.2.1
4h0eA00,1.10.10.10.25.3.1
1zarA01,1.10.10.10.27.1.1
5d6eA02,1.10.10.10.28.1.1
5u8kA02,1.10.10.10.29.2.1
4etsA01,1.10.10.10.30.1.1
2v9vA02,1.10.10.10.31.1.1
2bgcA02,1.10.10.10.32.1.1
2od5A00,1.10.10.10.33.1.1
1fbqA00,1.10.10.10.34.1.1
1kgsA02,1.10.10.10.36.1.1
2fe3B01,1.10.10.10.38.2.1
1sfeA02,1.10.10.10.40.2.1
2f2eA01,1.10.10.10.42.1.1
2qvoA00,1.10.10.10.43.1.1
3cuoD00,1.10.10.10.44.2.1
1kyzA01,1.10.10.10.45.1.3
3fxqB01,1.10.10.10.46.1.1
2pmuC00,1.10.10.10.47.1.1
7cluA01,1.10.10.10.48.1.1
2xkoA02,1.10.10.10.49.1.2
5dcmB00,1.10.10.10.50.1.1
3gwzA01,1.10.10.10.51.1.1
3lstA01,1.10.10.10.51.2.1
2p5kA00,1.10.10.10.52.1.1
2ip2A01,1.10.10.10.53.1.1
1p2fA02,1.10.10.10.54.2.1
1dp7P00,1.10.10.10.55.1.1
2do7A01,1.10.10.10.56.3.1
2xigA01,1.10.10.10.57.1.1
1hw1A01,1.10.10.10.59.1.1
1z7uB00,1.10.10.10.61.3.1
5z4zC00,1.10.10.10.62.2.1
1mgtA02,1.10.10.10.63.2.1
5trdA01,1.10.10.10.64.1.1
2obpA00,1.10.10.10.65.1.1
3f6oB00,1.10.10.10.67.1.1
7txnA01,1.10.10.10.68.1.1
1t6sA01,1.10.10.10.69.1.1
1mzbA01,1.10.10.10.70.1.1
1s7aA00,1.10.10.10.71.1.1
2qm3A01,1.10.10.10.72.1.2
3b02A02,1.10.10.10.73.1.1
5nl9A01,1.10.10.10.74.1.1
4i2oA02,1.10.10.10.76.1.1
1r1tA00,1.10.10.10.77.1.1
2jscB01,1.10.10.10.77.2.1
5hs7B00,1.10.10.10.78.1.1
4hqeA00,1.10.10.10.78.2.1
1sfxB00,1.10.10.10.79.1.1
1b9mB01,1.10.10.10.80.1.1
2a07J00,1.10.10.10.81.1.1
5iceA01,1.10.10.10.82.1.1
5w3gA00,1.10.10.10.83.1.1
1rz4A02,1.10.10.10.84.1.1
4e70A01,1.10.10.10.85.1.1
1o3sA02,1.10.10.10.86.1.1
7lzaA02,1.10.10.10.87.1.1
3keoA01,1.10.10.10.88.1.1
4hw0C00,1.10.10.10.89.1.1
3elkA00,1.10.10.10.90.1.1
3d0sA02,1.10.10.10.91.1.2
4esjA02,1.10.10.10.92.1.1
1u2wD00,1.10.10.10.93.1.1
2esnA01,1.10.10.10.94.1.1
3c7jA01,1.10.10.10.95.1.1
1r1uB00,1.10.10.10.96.1.1
2rkhA01,1.10.10.10.97.1.1
3b73B00,1.10.10.10.98.1.1
1xdsB01,1.10.10.10.99.3.1
4hlyA00,1.10.10.10.101.1.1
5fo5A00,1.10.10.10.102.1.1
2v9vA01,1.10.10.10.103.1.1
6qv3A05,1.10.10.10.104.2.1
4tv7D01,1.10.10.10.105.1.1
2gauA02,1.10.10.10.106.1.1
3mczA01,1.10.10.10.107.1.1
3to7A03,1.10.10.10.108.1.1
1xgsA02,1.10.10.10.109.1.1
1in4A02,1.10.10.10.110.1.1
4jqfA02,1.10.10.10.111.1.1
2oqgB00,1.10.10.10.112.1.1
2zkzC00,1.10.10.10.114.1.1
5dymA00,1.10.10.10.115.1.1
4g6qA01,1.10.10.10.116.1.1
2ns0A00,1.10.10.10.118.1.1
6do0A00,1.10.10.10.119.1.2
3mq0A01,1.10.10.10.120.1.1
3bz6A01,1.10.10.10.121.1.1
2mbfA01,1.10.10.10.122.2.1
5deqB02,1.10.10.10.123.1.1
1on2A01,1.10.10.10.124.1.1
6g1dA01,1.10.10.10.125.1.1
3by6C01,1.10.10.10.126.4.1
3ic7A01,1.10.10.10.126.5.1
5xsoA02,1.10.10.10.127.1.1
3szpA01,1.10.10.10.128.1.1
4mhgA01,1.10.10.10.129.1.1
2o3fA00,1.10.10.10.132.1.1
2l4mA00,1.10.10.10.133.1.1
3gw2A00,1.10.10.10.134.1.1
3pfiA03,1.10.10.10.135.2.1
2o8xA00,1.10.10.10.136.2.1
1t0fA02,1.10.10.10.137.1.1
4mqvA00,1.10.10.10.138.1.1
3e97A02,1.10.10.10.139.1.1
2pg4A00,1.10.10.10.140.1.1
3df8A00,1.10.10.10.142.1.1
2p8tA01,1.10.10.10.143.1.1
1s7oB00,1.10.10.10.144.2.1
3o2pE00,1.10.10.10.145.1.1
1stzA01,1.10.10.10.146.1.1
3bjoA00,1.10.10.10.147.2.1
3jtgA01,1.10.10.10.148.1.1
2ff4A01,1.10.10.10.149.1.1
2o61A03,1.10.10.10.150.1.2
2pi0A01,1.10.10.10.150.2.1
1z6tA04,1.10.10.10.151.1.1
2z99A01,1.10.10.10.152.1.1
2co5A00,1.10.10.10.153.1.1
2d1hB00,1.10.10.10.154.1.1
1c0wA01,1.10.10.10.155.1.1
4ivnA01,1.10.10.10.156.1.1
1opcA00,1.10.10.10.157.1.1
1t6sB02,1.10.10.10.158.1.1
1hsjB03,1.10.10.10.160.1.1
4kibA01,1.10.10.10.161.1.1
6cc0A02,1.10.10.10.162.3.1
3fx3B02,1.10.10.10.163.1.1
4gyiA01,1.10.10.10.164.1.1
5y2vC01,1.10.10.10.165.2.1
6az6A01,1.10.10.10.167.1.1
4yiiA00,1.10.10.10.169.1.1
3w6kC00,1.10.10.10.170.1.1
2j5oA01,1.10.10.10.172.1.1
2fmyA02,1.10.10.10.173.1.1
5y9sC01,1.10.10.10.174.1.1
3lfkD00,1.10.10.10.175.1.1
4rs8A00,1.10.10.10.177.1.1
1bjaA00,1.10.10.10.178.1.1
3go5A04,1.10.10.10.179.1.1
1aoyA00,1.10.10.10.180.1.2
2rc4A03,1.10.10.10.181.4.1
2wteA02,1.10.10.10.182.1.1
7dklA01,1.10.10.10.183.1.1
3fm3A02,1.10.10.10.184.1.1
1fc3B00,1.10.10.10.185.1.1
3m8eA00,1.10.10.10.186.1.1
3htuA00,1.10.10.10.187.1.1
1xb4B02,1.10.10.10.187.2.1
6oinA01,1.10.10.10.188.1.1
4mtdD01,1.10.10.10.189.1.1
2dt5B01,1.10.10.10.191.3.1
2h6bA02,1.10.10.10.192.1.1
1ub9A00,1.10.10.10.193.1.1
1a04A02,1.10.10.10.194.1.1
3dp7B01,1.10.10.10.196.1.1
1jhfA02,1.10.10.10.197.1.1
2r7dA01,1.10.10.10.198.1.1
4d7kA01,1.10.10.10.199.1.1
4wcgA00,1.10.10.10.200.1.1
1fokA02,1.10.10.10.201.1.2
2r3sB01,1.10.10.10.202.1.1
1lddA00,1.10.10.10.203.1.1
1yg2A01,1.10.10.10.204.1.1
2di3A01,1.10.10.10.205.1.1
2zj2A03,1.10.10.10.207.1.1
2oqrA03,1.10.10.10.208.2.1
2pbiA01,1.10.10.10.209.1.1
6n9gA01,1.10.10.10.209.2.1
7pb9A01,1.10.10.10.210.1.1
4p9fA01,1.10.10.10.211.2.1
1fnnB03,1.10.10.10.212.1.1
2vxzA01,1.10.10.10.214.1.1
2fswA00,1.10.10.10.215.1.1
1yyvB00,1.10.10.10.215.2.1
1ulyA01,1.10.10.10.216.1.1
3edpA01,1.10.10.10.217.1.1
3tgnB02,1.10.10.10.219.2.1
1z05A01,1.10.10.10.221.1.1
2fnaA03,1.10.10.10.222.1.1
1s8nA02,1.10.10.10.223.1.1
4a6dA01,1.10.10.10.225.1.1
3eyyA01,1.10.10.10.226.1.1
2dqlA00,1.10.10.10.227.1.2
1d3yA01,1.10.10.10.230.1.1
2ga1A02,1.10.10.10.231.1.1
6abqB00,1.10.10.10.232.1.2
4esbA00,1.10.10.10.232.3.1
3hugA00,1.10.10.10.233.1.1
1mkmB01,1.10.10.10.234.1.1
2q8kA02,1.10.10.10.235.1.1
4ipaA02,1.10.10.10.235.2.1
3bz6A02,1.10.10.10.236.1.1
7vb8A01,1.10.10.10.237.1.1
2g9wA01,1.10.10.10.238.1.1
3f8mA01,1.10.10.10.239.1.1
1sfuA00,1.10.10.10.240.1.1
1l3lA02,1.10.10.10.241.1.1
4kmfA00,1.10.10.10.242.1.1
3ke2B00,1.10.10.10.243.1.1
3aafA00,1.10.10.10.244.1.1
6j0eB01,1.10.10.10.245.1.1
4kt5C00,1.10.10.10.247.1.1
6uvuA01,1.10.10.10.248.1.1
3p7nA02,1.10.10.10.249.1.1
1repC02,1.10.10.10.250.1.1
2kifA00,1.10.10.10.251.2.1
4p55B00,1.10.10.10.252.1.1
3t5xA02,1.10.10.10.253.1.1
3gz5B02,1.10.10.10.254.1.1
6jqsA00,1.10.10.10.255.1.2
1tbxB00,1.10.10.10.256.1.1
2h09A01,1.10.10.10.257.1.1
4ad9A02,1.10.10.10.258.1.1
5cvrA02,1.10.10.10.259.1.1
4o5vA01,1.10.10.10.260.1.1
3c1dB01,1.10.10.10.261.1.1
3u9gA01,1.10.10.10.262.1.1
3dplC03,1.10.10.10.263.1.1
2hs5A01,1.10.10.10.264.2.1
2q0oA02,1.10.10.10.266.1.1
7pzaA02,1.10.10.10.267.1.1
1j75A00,1.10.10.10.268.1.2
2e7xA01,1.10.10.10.269.1.1
3l7wA00,1.10.10.10.270.1.1
1o57A01,1.10.10.10.272.1.1
4bgdA03,1.10.10.10.273.2.1
5optn00,1.10.10.10.274.1.2
1ku3A00,1.10.10.10.275.1.2
1cf7B00,1.10.10.10.277.1.1
2ia2A01,1.10.10.10.278.2.1
2v1xA03,1.10.10.10.279.1.1
3bwgB01,1.10.10.10.281.1.1
4ejoA00,1.10.10.10.282.1.1
2ijlB00,1.10.10.10.284.1.1
3cuqA02,1.10.10.10.285.1.1
1u5tA02,1.10.10.10.285.2.1
3d5lB01,1.10.10.10.286.1.1
3eetA01,1.10.10.10.287.1.1
3vfzB00,1.10.10.10.288.1.1
3mwmA01,1.10.10.10.290.1.1
5bpdD01,1.10.10.10.291.1.1
3lapA01,1.10.10.10.292.1.1
2o0yB01,1.10.10.10.294.1.1
3cuqA03,1.10.10.10.295.1.1
1u5tA03,1.10.10.10.295.2.1
3cuqB02,1.10.10.10.296.1.1
2qenA03,1.10.10.10.298.1.1
1qbjC00,1.10.10.10.299.1.1
1ft9A02,1.10.10.10.300.1.1
3zq7A00,1.10.10.10.301.1.1
4ha8A01,1.10.10.10.302.1.1
2xubA02,1.10.10.10.303.1.1
1ku9B01,1.10.10.10.305.1.1
2ek5B00,1.10.10.10.306.1.1
1w5sA03,1.10.10.10.307.1.1
1sd4A01,1.10.10.10.308.1.1
2y75A00,1.10.10.10.310.1.3
2ia1B02,1.10.10.10.311.1.1
1if1B00,1.10.10.10.312.1.2
4a0zA01,1.10.10.10.314.1.1
3dv8A02,1.10.10.10.315.1.1
2iw5A01,1.10.10.10.316.1.1
3g3zA02,1.10.10.10.318.1.1
1q1hA00,1.10.10.10.319.1.1
1t98A01,1.10.10.10.320.1.1
3dfgA01,1.10.10.10.321.1.1
3dfgA03,1.10.10.10.322.1.1
2v79A00,1.10.10.10.323.1.1
3kfwX01,1.10.10.10.327.1.1
4chuA00,1.10.10.10.328.1.2
3l09A02,1.10.10.10.329.1.1
4ijaA01,1.10.10.10.330.1.1
1lnwF01,1.10.10.10.331.1.1
5h20A00,1.10.10.10.333.1.1
5tjjA01,1.10.10.10.334.1.1
2v7fA00,1.10.10.10.335.1.1
3j7aY00,1.10.10.10.335.2.1
5f7qC01,1.10.10.10.336.1.1
1k78A01,1.10.10.10.337.1.1
3ff5A00,1.10.10.10.338.1.1
5y6iA01,1.10.10.10.339.1.1
3c1dA02,1.10.10.10.340.2.1
2xv4S03,1.10.10.10.341.1.1
5dcaA11,1.10.10.10.342.1.2
1lvaA03,1.10.10.10.344.1.1
2jpcA00,1.10.10.10.345.2.1
3majA02,1.10.10.10.346.1.1
2b0lC00,1.10.10.10.348.1.1
1ghcA00,1.10.10.10.349.2.1
2mh9A00,1.10.10.10.350.1.1
4b8xA00,1.10.10.10.351.1.1
3c18A03,1.10.10.10.352.1.1
3hhgE01,1.10.10.10.353.2.1
6uglB02,1.10.10.10.354.1.1
2p4wA01,1.10.10.10.355.1.1
3c57B00,1.10.10.10.356.1.1
2xubA01,1.10.10.10.357.1.1
1lvaA04,1.10.10.10.358.1.1
2mlkA00,1.10.10.10.359.1.1
3t0yA02,1.10.10.10.361.1.1
5f64A02,1.10.10.10.362.1.1
1biaA01,1.10.10.10.364.1.1
1j5yA01,1.10.10.10.365.1.1
1bm9A00,1.10.10.10.366.1.1
5dukB00,1.10.10.10.368.1.1
3jw4A00,1.10.10.10.370.1.1
1s3jA02,1.10.10.10.371.1.1
3i71B00,1.10.10.10.372.1.1
2jt1A00,1.10.10.10.372.2.1
2fmlB03,1.10.10.10.375.1.1
1xn7A00,1.10.10.10.376.1.2
2dbbB01,1.10.10.10.377.1.1
3e3vA03,1.10.10.10.378.1.1
2pexA00,1.10.10.10.380.1.1
3bpvA00,1.10.10.10.381.1.1
2eshA00,1.10.10.10.382.1.1
4i98C01,1.10.10.10.383.1.1
5hvqC02,1.10.10.10.384.1.1
6az1a00,1.10.10.10.385.1.1
4nqwA02,1.10.10.10.386.1.1
3k9tA03,1.10.10.10.389.1.1
2pjpA02,1.10.10.10.390.1.1
3ecoB00,1.10.10.10.392.1.1
3qphA01,1.10.10.10.393.1.1
3cuqB03,1.10.10.10.394.1.1
7ewfB01,1.10.10.10.395.1.1
2p5vA01,1.10.10.10.396.1.1
1xd7A00,1.10.10.10.398.1.1
2pjpA01,1.10.10.10.399.1.1
2xvcA00,1.10.10.10.400.1.1
3e3vA01,1.10.10.10.401.1.1
3oopA01,1.10.10.10.402.1.1
6wshA02,1.10.10.10.403.1.1
3gudA00,1.10.10.10.404.1.1
5xyiK00,1.10.10.10.405.2.1
3jamK00,1.10.10.10.405.3.1
1k78I00,1.10.10.10.406.1.1
1pp8O00,1.10.10.10.407.1.1
3c1dA03,1.10.10.10.408.1.1
1cf7A00,1.10.10.10.409.1.1
4yo2A01,1.10.10.10.409.2.1
1fpqA02,1.10.10.10.410.1.1
3nrvB00,1.10.10.10.411.1.1
1ka8A00,1.10.10.10.412.1.1
3sqnB01,1.10.10.10.413.1.1
3fm5A00,1.10.10.10.414.1.1
2gxgA00,1.10.10.10.415.1.1
4aihF00,1.10.10.10.416.1.1
2hr3D02,1.10.10.10.417.1.1
2qbyA03,1.10.10.10.418.1.1
2m87A00,1.10.10.10.419.1.2
3ulqB00,1.10.10.10.420.1.1
3tqnA01,1.10.10.10.421.1.1
3r0aA00,1.10.10.10.422.1.1
2qbyB03,1.10.10.10.424.1.1
2a5yC03,1.10.10.10.425.1.1
3r4kB01,1.10.10.10.426.1.1
1lj9B00,1.10.10.10.429.2.1
2fa5A00,1.10.10.10.430.1.1
2cfxA01,1.10.10.10.431.2.1
2qlzA03,1.10.10.10.432.1.1
1p4xA02,1.10.10.10.433.1.1
6juvB01,1.10.10.10.434.1.1
4asnA00,1.10.10.10.435.1.1
3broD00,1.10.10.10.437.1.1
4eqqA02,1.10.10.10.439.1.1
